word,count
report,341
free,227
inc,193
have,188
shar,146
get,146
nasdaq,137
nyse,119
average,117
day,115
stock,111
mov,108
research,100
rat,81
price,80
holding,80
dur,74
company,72
friday,70
analyst,70
financial,70
trad,70
quart,64
corebridge,60
plc,57
accord,52
otcmkt,52
open,50
buy,50
earning,48
