proper_noun,count
NASDAQ,274
NYSE,238
The,127
Inc,126
Get Free Report,118
OTCMKTS,104
Free Report,103
Friday,67
LON,62
PLC,60
GBX,41
Corebridge Financial Inc,41
US,38
August,32
EPS,30
Wall Street Zen,30
Day Moving Average,30
Thursday,26
ETF,25
Wednesday,24
Shares,24
We,23
Hsbc Holdings PLC,23
September,20
Why,19
How,18
LLC,18
Zacks Research,18
TSE,18
NYSEARCA,18
