proper_noun,count
NASDAQ,260
NYSE,208
LP,157
Free Report,134
Inc,122
The,108
Trexquant Investment LP,68
Get Free Report,58
US,51
CVE,44
OPEC,40
Friday,38
OTCMKTS,34
Shares,33
SEC,32
MTV,31
Securities,30
NFL,29
State,25
Wyoming,25
TSE,24
Sunday,22
Earnings,22
Wall Street Zen,21
August,20
Why,20
How,20
Trump,19
EPS,19
HoldingsChannel,17
