date,count
2025-08-17,1417
2025-08-18,3258
2025-08-19,2060
2025-08-21,443
2025-08-22,4625
2025-08-23,3815
2025-08-24,3681
2025-08-25,4527
2025-08-26,4760
2025-08-27,4578
2025-08-28,4603
2025-08-29,4324
