publisher,count
ETF Daily News,929
Biztoc.com,450
Thefly.com,266
Yahoo Entertainment,254
Newsweek,205
The Times of India,202
Slashdot.org,186
Fox News,148
Memeorandum.com,111
CBS News,108
GlobeNewswire,106
Freerepublic.com,101
ESPN,95
Forbes,88
BBC News,84
