word,count
report,346
inc,277
free,240
shar,212
quart,152
have,149
llc,141
nasdaq,139
nyse,126
holding,111
dur,108
recent,106
accord,105
management,99
company,98
position,93
monday,74
advisor,74
get,73
fil,73
trad,67
alliancebernstein,64
stake,62
stock,58
capital,56
equity,52
price,51
corporation,51
return,50
strategy,50
