word,count
report,296
free,228
nasdaq,169
shar,162
llc,152
inc,149
have,128
advisor,126
get,117
newedge,114
quart,101
kirk,91
charlie,86
rat,85
etf,84
accord,81
nyse,78
short,77
inter,76
dur,76
holding,75
research,73
recent,73
stock,73
company,72
trad,68
friday,62
analyst,60
position,60
august,57
