proper_noun,count
NASDAQ,336
LLC,204
NYSE,156
Free Report,118
ETF,108
Get Free Report,103
Inc,92
The,90
NewEdge Advisors LLC,70
NYSEARCA,64
Charlie Kirk,60
OTCMKTS,56
Friday,55
Wall Street Zen,54
August,53
Saturday,36
Shares,30
SEC,30
As,29
US,29
September,24
BATS,22
Securities,22
AAPL,21
EPS,20
TV,19
Sept,18
Shades,18
IRNA,17
We,16
