bigram,count
free report,188
get free,144
day mov,99
mov average,99
window open,68
open href,68
href blank',68
blank' return,68
return false,68
short inter,64
stock have,39
hundr day,39
above day,39
dur trad,35
average dur,33
trad tuesday,33
tuesday stock,33
inc nasdaq,32
report have,32
quart accord,31
stock price,28
wealth advisor,28
advisor llc,28
trump' tariff,27
above hundr,27
earning call,24
call analyst,24
analyst event,24
event roadshow,24
cross above,24
