date,open,high,low,close,volume,adj_close
2025-04-29,139.809998,141.160004,139.550003,140.789993,4851500,139.39151
2025-04-30,138.479996,141.300003,135.570007,140.720001,9443500,139.322189
2025-05-01,146.559998,148.639999,145.339996,145.490005,11525800,144.04483
2025-05-02,148.330002,153.059998,148.330002,150.729996,11346000,149.232758
2025-05-05,149.440002,150.820007,148.520004,149.289993,5187400,147.807068
2025-05-06,146.979996,148.940002,145.720001,147.699997,5108600,146.232849
2025-05-07,147.5,149.899994,147.240005,149.369995,6049600,147.886261
2025-05-08,149.050003,151.809998,148.610001,150.300003,6113600,148.807037
2025-05-09,150.039993,151.800003,149.789993,150.339996,4707100,148.846634
2025-05-12,156.309998,157.429993,154.419998,157.220001,7875500,155.658295
2025-05-13,158.220001,163.220001,157.570007,162.270004,11955200,160.658142
2025-05-14,162.360001,163.410004,161.059998,162.949997,7499400,161.331375
2025-05-15,161.360001,161.740005,158.910004,159.399994,10169200,157.816635
2025-05-16,160.0,160.839996,158.520004,160.490005,8515500,158.895813
2025-05-19,158.300003,161.970001,157.830002,159.639999,10268900,158.054245
2025-05-20,158.630005,160.360001,157.529999,160.309998,7576400,158.71759
2025-05-21,158.350006,160.899994,156.460007,157.179993,6011000,155.618683
2025-05-22,156.979996,159.190002,156.820007,157.309998,7603300,155.747391
2025-05-23,154.990005,157.380005,154.259995,155.970001,6527500,154.420715
2025-05-27,159.320007,162.399994,158.919998,161.910004,6976800,160.301712
2025-05-28,161.869995,164.320007,161.279999,163.850006,8090700,162.222443
2025-05-29,165.0,165.320007,161.490005,162.899994,6994700,161.28186
2025-05-30,163.429993,165.75,161.550003,165.529999,17547900,163.885757
2025-06-02,164.169998,167.0,162.600006,166.570007,7166000,164.915421
2025-06-03,166.800003,169.330002,166.589996,169.139999,7155300,167.459885
2025-06-04,169.710007,170.479996,167.570007,168.100006,6375800,166.430237
2025-06-05,169.0,172.259995,168.759995,171.139999,7707800,169.440018
2025-06-06,174.0,174.789993,172.660004,174.020004,6833700,172.291412
2025-06-09,174.860001,178.720001,173.789993,177.149994,9668900,175.390335
2025-06-10,177.710007,177.850006,174.279999,177.479996,11056700,175.717041
2025-06-11,177.550003,179.550003,176.199997,176.380005,18002900,174.627975
2025-06-12,189.960007,202.490005,188.880005,199.860001,54610000,197.874741
2025-06-13,201.580002,216.600006,201.199997,215.220001,53707400,213.082184
2025-06-16,213.199997,215.169998,209.979996,211.100006,22665300,209.003082
2025-06-17,210.660004,215.880005,207.479996,208.179993,17819200,206.112091
2025-06-18,211.089996,214.720001,209.570007,210.869995,15055400,208.77536
2025-06-20,213.350006,213.800003,204.639999,205.169998,20879100,203.131989
2025-06-23,205.509995,207.270004,202.539993,207.039993,13418400,204.983414
2025-06-24,209.990005,216.369995,208.550003,215.270004,19030600,213.131683
2025-06-25,214.940002,216.929993,210.229996,210.720001,11804600,208.626862
2025-06-26,212.0,214.419998,210.360001,212.820007,10531100,210.706009
2025-06-27,213.690002,214.649994,209.960007,210.240005,14127500,208.151642
2025-06-30,226.5,228.220001,218.380005,218.630005,31844200,216.458298
2025-07-01,219.300003,223.169998,216.309998,218.960007,16962200,216.785019
2025-07-02,217.679993,231.899994,216.720001,229.979996,22326900,227.695557
2025-07-03,233.220001,237.990005,231.199997,237.320007,18441400,234.962646
2025-07-07,235.110001,235.25,229.5,232.259995,16584300,229.952896
2025-07-08,237.130005,241.440002,233.190002,234.5,20401800,232.170654
2025-07-09,235.509995,236.509995,232.0,235.809998,10871600,233.467651
2025-07-10,239.940002,240.059998,233.5,235.0,11486300,233.16008
2025-07-11,231.369995,234.0,229.869995,230.559998,10208200,228.754837
2025-07-14,229.449997,230.639999,225.119995,229.279999,11337000,227.484863
2025-07-15,232.410004,235.600006,229.199997,234.960007,10728800,233.120407
2025-07-16,235.5,241.330002,233.190002,241.300003,12597500,239.410751
2025-07-17,243.339996,251.600006,242.009995,248.75,17631300,246.802414
2025-07-18,248.5,249.679993,245.0,245.449997,9678100,243.528259
2025-07-21,245.309998,246.800003,243.240005,243.539993,7348400,241.633209
2025-07-22,241.979996,242.289993,235.410004,238.110001,11380900,236.245728
2025-07-23,239.949997,243.419998,238.660004,241.899994,7255800,240.006058
2025-07-24,242.410004,244.080002,240.559998,242.830002,8237900,240.928772
2025-07-25,242.339996,245.470001,241.429993,245.119995,7149600,243.200836
2025-07-28,246.0,247.779999,243.419998,247.710007,6756800,245.770554
2025-07-29,248.699997,253.070007,246.589996,249.979996,8415300,248.022781
2025-07-30,248.639999,251.050003,245.600006,250.600006,8441400,248.637939
2025-07-31,255.770004,260.869995,253.320007,253.770004,15548700,251.783112
2025-08-01,247.830002,248.410004,242.0,244.419998,12718200,242.506332
2025-08-04,245.899994,252.910004,245.899994,252.529999,8614800,250.552826
2025-08-05,255.410004,258.48999,251.369995,255.669998,11197300,253.668243
2025-08-06,256.839996,256.839996,251.720001,256.429993,9930200,254.422272
2025-08-07,257.709991,257.76001,246.520004,249.389999,11954200,247.437408
2025-08-08,250.029999,250.889999,247.860001,250.050003,8313300,248.092255
2025-08-11,248.399994,254.690002,245.559998,252.679993,9012100,250.701645
2025-08-12,252.580002,257.869995,251.080002,253.860001,9998400,251.872421
2025-08-13,257.170013,257.670013,242.639999,244.179993,14182100,242.268188
2025-08-14,244.949997,248.919998,242.570007,244.960007,10285600,243.042099
2025-08-15,246.919998,250.630005,242.929993,248.279999,11554000,246.33609
2025-08-18,246.199997,249.160004,243.619995,249.070007,6759900,247.119934
2025-08-19,249.25,249.25,232.229996,234.619995,16819300,232.783035
2025-08-20,232.179993,235.880005,228.25,235.059998,11256400,233.219589
2025-08-21,233.050003,235.919998,232.429993,233.160004,7403100,231.334488
2025-08-22,234.059998,238.5,231.460007,236.369995,9343600,234.519348
2025-08-25,237.350006,239.029999,235.270004,235.410004,6308600,233.566879
2025-08-26,235.0,236.910004,232.710007,234.210007,11805200,232.376266
2025-08-27,235.0,236.529999,232.679993,235.809998,5637600,233.96373
2025-08-28,235.539993,241.949997,235.119995,240.320007,8691500,238.438431
2025-08-29,237.610001,238.220001,223.110001,226.130005,16618600,224.359528
2025-09-02,222.0,225.449997,218.789993,225.300003,10461900,223.536026
2025-09-03,225.899994,225.899994,221.75,223.449997,8900800,221.7005
2025-09-04,222.0,223.570007,219.559998,223.0,10303100,221.254044
2025-09-05,232.550003,234.619995,225.889999,232.800003,15386100,230.97731
2025-09-08,239.889999,242.419998,235.309998,238.479996,18803000,236.612839
