proper_noun,count
NYSE,396
NASDAQ,352
Free Report,232
US,230
Inc,220
IRNA,200
The,195
LLC,186
MD,168
Aug,140
Trump,122
August,112
Rowe Associates Inc,112
MOSCOW,96
Get Free Report,92
PLC,80
Tuesday,79
We,77
AM,76
Iran,74
Taylor Swift,73
KCNA,72
Securities,70
UN,69
Sputnik,64
Tehran,64
CW,64
Price,64
Travis Kelce,62
PM,60
