proper_noun,count
NYSE,316
IRNA,304
NASDAQ,270
The,266
Inc,222
Free Report,196
Iran,145
US,136
Trump,124
IAEA,122
Wednesday,120
LLC,108
August,93
China,89
Islamic Republic News,88
"Agency
Aug",88
How,87
Why,85
Earnings,80
Tehran,80
MANILA,80
Nvidia,77
MD,72
Aug,69
Northern Trust Corp,69
PM,64
CNA,64
Get Free Report,56
SEC,56
KKR,56
