publisher,count
ETF Daily News,281
Biztoc.com,153
Thefly.com,78
Slashdot.org,35
Fox News,25
Sporting News,23
The Times of India,23
ABC News (AU),23
BBC News,19
Boredpanda.com,17
PhoneArena,16
Music Ally,16
mindbodygreen.com,16
Fortune,16
Antaranews.com,12
CNA,11
CinemaBlend,10
The-independent.com,10
Breitbart News,9
RT,9
Pypi.org,8
Thepinknews.com,8
The Week Magazine,8
Breaking NEWS in KENYA for Today Right Now & Kenyan News | TUKO,8
Marca,8
Business Insider,8
Coinjournal.net,8
autosport.com,8
Project Syndicate,8
Sky.com,8
Catholicnewsagency.com,8
C21media.net,8
National Observer,8
Steynonline.com,8
RTE,8
NPR,8
Eurogamer.net,8
Tuscaloosa News,8
Time Out,8
Sputnikglobe.com,8
1000mg.jp,8
7NEWS.com.au,5
Financial Post,5
Yahoo Entertainment,5
Freerepublic.com,5
Paul Tan's Automotive News,4
The Daily Caller,4
Digital Journal,4
New York Post,4
Memeorandum.com,4
Albuquerque Journal,4
GlobeNewswire,3
Mypeoplesreview.com,3
International Business Times,3
CBS News,2
MMA Fighting,2
The Indian Express,2
CBC News,2
Mediagazer.com,2
NBC News,2
On3.com,2
ESPN,2
Shannews.org,2
Ambcrypto.com,2
USA Today,2
Daytona Beach News-Journal,1
Eonline.com,1
Page Six,1
Batterypower.com,1
TODAY,1
TheWrap,1
Livemint,1
Newsweek,1
Nep123.com,1
NetsDaily,1
KPBS,1
Deadline,1
TheStreet,1
Twistedsifter.com,1
WFTV Orlando,1
Commonsensewithmoney.com,1
Socialmediaexplorer.com,1
STLtoday.com,1
Decider,1
Crikey,1
Ndtvprofit.com,1
Lawyersgunsmoneyblog.com,1
Us Weekly,1
GameSpot,1
ComingSoon.net,1
Macworld,1
Itainews.com,1
Just Jared,1
Egscomics.com,1
Mediaite,1
ABC News,1
Decrypt,1
Al Jazeera English,1
Rockmnation.com,1
Monroe Evening News,1
The Advocate,1
BANG Showbiz ,1
The Local Sweden,1
ClutchPoints,1
Daily Beast,1
Hacker News,1
GMA News,1
Coolchicstylefashion.com,1
Chelsea.news,1
Hurriyet Daily News,1
Bloomberg,1
PR Newswire UK,1
Boston Herald,1
