publisher,count
ETF Daily News,154
Thefly.com,103
Biztoc.com,72
Slashdot.org,40
Newsweek,31
Financial Post,25
The Times of India,23
Fox News,22
Memeorandum.com,22
GlobeNewswire,20
Nep123.com,17
Freerepublic.com,15
Sporting News,15
TechRadar,12
New York Post,10
ABC News (AU),10
Bleeding Cool News,10
CBS News,9
Space Daily,9
Yahoo Entertainment,8
NBC News,8
HuffPost,7
Breitbart News,7
Antaranews.com,7
BBC News,7
Forbes,7
On3.com,7
Al Jazeera English,6
Mediaite,5
CinemaBlend,5
Paul Tan's Automotive News,5
The Daily Caller,5
The-independent.com,5
Sky.com,5
Time Out,5
DW (English),5
YEN.COM.GH,5
USA Today,4
Thepinknews.com,4
fox6now.com,4
ABC News,4
Spacewar.com,4
CBC News,4
TheJournal.ie,4
The Verge,4
9to5Toys,4
PBS,4
Newsonjapan.com,4
Aero-news.net,4
Raw Story,3
Prtimes.jp,3
Wnd.com,3
Ndtvprofit.com,3
Boredpanda.com,3
Breaking NEWS in KENYA for Today Right Now & Kenyan News | TUKO,3
ESPN,3
Independent.ie,3
TODAY,3
Windows Central,3
TMZ,3
Politicalwire.com,3
Us Weekly,3
Hyperallergic,3
Rolling Stone,2
STLtoday.com,2
Thegatewaypundit.com,2
Crikey,2
Boxingnews24.com,2
Variety,2
ComicBook.com,2
Daringfireball.net,2
The Indian Express,2
Anime News Network,2
CNX Software,2
Post Magazine,2
Techdirt,2
TechNode,2
WSB Atlanta,2
Israelnationalnews.com,2
Chelsea.news,2
Latest News in Nigeria & Breaking Naija News 24/7 | LEGIT.NG,2
Cult of Mac,2
Slate Magazine,2
Cointelegraph,2
Tom's Hardware UK,2
My Nintendo News,2
The Denver Post,2
STV News,2
Radaronline.com,2
NBCSports.com,2
WFTV Orlando,2
Loudwire,2
Rolling Out,2
The Hollywood Gossip,2
Decrypt,2
PC Gamer,2
Mediagazer.com,2
Deadline,2
Billboard,2
disneyfoodblog.com,2
Yale.edu,2
7NEWS.com.au,1
IGN,1
PR Newswire UK,1
Krebs on Security,1
Mypeoplesreview.com,1
Marcandangel.com,1
Bernama.com,1
Getfootballnewsgermany.com,1
BusinessLine,1
Snopes.com,1
ABC 12 News,1
Yacinemahdid.com,1
KPBS,1
Dancing Astronaut,1
Digital Journal,1
WMUR Manchester,1
Philippine Star,1
Motley Fool Australia,1
CleanTechnica,1
Marca,1
Starobserver.com.au,1
2firsts.com,1
TheWrap,1
Survivalblog.com,1
Livedoor.biz,1
Albuquerque Journal,1
Deseret News,1
Hip-Hop Wired,1
Protothema.gr,1
Superherohype.com,1
Japan Today,1
Nofilmschool.com,1
Hacker News,1
The Star Online,1
The Irish Times,1
Android Authority,1
9News,1
The Football Faithful,1
Supply Chain Dive,1
Creative Bloq,1
Streamingmedia.com,1
NPR,1
News18,1
CFO Magazine,1
CNA,1
Dlnews.com,1
Roanoke Times,1
Sky Sports,1
Onefootball.com,1
Geeky Gadgets,1
Christiantoday.com,1
Project Syndicate,1
Manx Radio,1
Hgptv.com,1
Nbcsportsphiladelphia.com,1
PhoneArena,1
What's on Netflix,1
DJ Mag,1
Macworld,1
Mongodb.com,1
Techtarget.com,1
Fortune,1
Raspberrypi.org,1
Ambcrypto.com,1
Eurogamer.net,1
Music Ally,1
autosport.com,1
Nakedcapitalism.com,1
Journalism.co.uk,1
Inside the Magic,1
TelecomTV,1
Wine Spectator,1
Lawyersgunsmoneyblog.com,1
PCWorld,1
BleepingComputer,1
International Business Times,1
Lesswrong.com,1
Gamingonlinux.com,1
Newser,1
The Portland Mercury,1
CoinDesk,1
Just Jared,1
Vox,1
BroBible,1
GeekTyrant,1
Tom's Guide,1
Insurance Journal,1
The Cut,1
Richmond.com,1
Daily Norseman,1
WWD,1
Business Insider,1
Winter is Coming,1
Tuscaloosa News,1
Twz.com,1
Knowyourmeme.com,1
Theaviationist.com,1
esquire.com,1
ComingSoon.net,1
The FADER,1
ARLnow,1
Digitalocean.com,1
Advocate.com,1
IndieWire,1
Luxurydaily.com,1
MetalSucks,1
National Post,1
Inside Higher Ed,1
Celtics Blog,1
HYPEBEAST,1
Osxdaily.com,1
Asianefficiency.com,1
The New Republic,1
Notebookcheck.net,1
Mubi.com,1
Ibtimes.com.au,1
Nationalenquirer.com,1
Phys.Org,1
Common Dreams,1
GameSpot,1
Boyculture.com,1
Amazon.com,1
9to5Mac,1
pymnts.com,1
Screen Rant,1
allears.net,1
The Bozeman Daily Chronicle,1
Athlon Sports,1
Just Arsenal News,1
Fox Sports,1
Abajournal.com,1
TVLine,1
Gizmodo.com,1
Wonkette.com,1
blogTO,1
Kotaku,1
BGR,1
Niners Nation,1
