bigram,count
free report,151
window open,130
open href,130
href blank',130
blank' return,130
return false,130
earning call,103
call analyst,103
analyst event,103
event roadshow,103
price target,75
get free,58
here' earning,56
target rais,51
false target',40
target' ceo,40
fine print,35
print follow,35
follow comment,35
comment own,35
own whoev,35
whoev post,35
post responsible,35
responsible way,35
com report,35
ceo stepp,34
donald trump,30
inc nasdaq,30
group inc,30
report quart,30
