proper_noun,count
NYSE,492
NASDAQ,450
The,368
Inc,344
Free Report,338
CVE,202
LLP,144
LLG,128
Get Free Report,115
LLC,109
Northern Trust Corp,104
SEC,100
Shares,75
We,73
Wellington Management Group,72
Group LLP,72
Why,71
How,70
US,69
Earnings,66
Holdings Channel,61
Monday,58
NYSEARCA,58
Saturday,55
Keurig Dr Pepper,54
JDE,54
Securities,53
Trump,52
ETF,50
Raymond James Financial,49
