publisher,count
ETF Daily News,210
Slashdot.org,22
Yahoo Entertainment,12
Biztoc.com,11
Freerepublic.com,10
Memeorandum.com,10
Sporting News,9
Fox News,8
CBS News,8
Nep123.com,7
BBC News,7
USA Today,6
On3.com,5
7NEWS.com.au,5
Bleeding Cool News,5
Mypeoplesreview.com,5
Boredpanda.com,5
ABC News (AU),5
The Times of India,4
Newsweek,4
NBC News,4
Tuscaloosa News,3
Financial Post,3
Israelnationalnews.com,3
Deadline,3
WSB Atlanta,3
DW (English),3
Hacker News,3
CNN,3
Worldsoccertalk.com,2
New York Post,2
Thegatewaypundit.com,2
Page Six,2
fox6now.com,2
Variety,2
WPXI Pittsburgh,2
Forbes,2
Greenville News,2
Balloon-juice.com,2
Hgptv.com,2
Barca Blaugranes,2
CBC News,2
RTE,2
Breitbart News,2
PhoneArena,1
Ibtimes.com.au,1
International Business Times,1
Al Jazeera English,1
Digital Journal,1
Twitchy.com,1
Electrek,1
Raw Story,1
Economictimes.com,1
Activistpost.com,1
Channel3000.com - WISC-TV3,1
The Spokesman-Review,1
Anime News Network,1
XDA Developers,1
Nikonians.org,1
Reading Eagle,1
MLB Trade Rumors,1
The Sydney Morning Herald,1
Fmfstateofmind.com,1
Wordpress.org,1
Sportsnaut,1
Buddytv.com,1
The Denver Post,1
Boxingnews24.com,1
Nintendo Life,1
soompi,1
Deseret News,1
Goodbullhunting.com,1
Fox Sports,1
Honolulu Star-Advertiser,1
Livedoor.biz,1
Mediagazer.com,1
GoNintendo,1
WGAL Susquehanna Valley Pa.,1
Marca,1
Khabarhub.com,1
The Daily Caller,1
Daverupert.com,1
Starobserver.com.au,1
Antaranews.com,1
The Conversation Africa,1
Japan Today,1
Jasmi.news,1
Strettynews.com,1
Louder,1
Ndtvprofit.com,1
9to5Toys,1
TheJournal.ie,1
9News,1
Motorsport.com,1
autosport.com,1
The Star Online,1
Sputnikglobe.com,1
Biziday.ro,1
Pypi.org,1
Managing Madrid,1
Geeky Gadgets,1
Just Arsenal News,1
Pinstripe Alley,1
Fortune,1
Creative Bloq,1
TODAY,1
Niners Nation,1
TechRadar,1
Richmond.com,1
MMA Mania,1
Chelsea.news,1
