publisher,title,url,published_at,raw_source
Fox News,Trump slams Pritzker on Chicago crime as governor's reported weight loss fuels 2028 speculation,https://www.foxnews.com/politics/trump-slams-pritzker-chicago-crime-governors-reported-weight-loss-fuels-2028-speculation,2025-08-31T01:58:00Z,newsapi
Slashdot.org,Famed Tennessee sheriff who inspired Hollywood movie 'Walking Tall' implicated in wife's murder - ABC News,https://slashdot.org/firehose.pl?op=view&amp;id=178950150,2025-08-31T01:55:55Z,newsapi
Slashdot.org,More than 500 workers at Voice of America and other broadcasters to be laid off - The Guardian,https://slashdot.org/firehose.pl?op=view&amp;id=178950144,2025-08-31T01:55:34Z,newsapi
Slashdot.org,Massive data breach: Google warns 2.5 billion Gmail users - WZTV,https://slashdot.org/firehose.pl?op=view&amp;id=178950138,2025-08-31T01:55:13Z,newsapi
Slashdot.org,Liam Payne's Sister Nicola Recalls Last Time She Saw Him Before His Death - TooFab,https://slashdot.org/firehose.pl?op=view&amp;id=178950136,2025-08-31T01:55:03Z,newsapi
Slashdot.org,"Full of expectations, Arch Manning struggles as top-ranked Texas falls at No. 3 Ohio State - AP News",https://slashdot.org/firehose.pl?op=view&amp;id=178950132,2025-08-31T01:54:43Z,newsapi
Freerepublic.com,BREAKING: HUD Secretary Scott Turner to BOOT ILLEGAL ALIENS from Section 8 Housing — Proof Of Citizenship Now Required For All Tenants,https://freerepublic.com/focus/f-news/4337749/posts,2025-08-31T01:54:00Z,newsapi
Freerepublic.com,BREAKING: HUD Secretary Scott Turner to BOOT ILLEGAL ALIENS from Section 8 Housing — Proof Of Citizenship Now Required For All Tenants,https://freerepublic.com/focus/f-bloggers/4337749/posts,2025-08-31T01:54:00Z,newsapi
PhoneArena,Huawei beat the Apple Watch because Apple doesn’t seem to wan’t you to have a better smartwatch,https://www.phonearena.com/news/Huawei-beat-the-Apple-Watch-because-Apple-doesnt-seem-to-want-you-to-have-a-better-smartwatch_id173673,2025-08-31T01:52:59Z,newsapi
Tuscaloosa News,Ty Simpson's first Alabama football start was a dud. Why Kalen DeBoer wants QB to 'let it fly',https://www.tuscaloosanews.com/story/sports/college/football/2025/08/30/ty-simpson-alabama-football-qb-fsu-first-start-analysis/85775201007/,2025-08-31T01:52:31Z,newsapi
Biztoc.com,"Verizon customers report phone outages, with devices limited to SOS mode",https://biztoc.com/x/d8314bbfbb056dfc,2025-08-31T01:51:51Z,newsapi
Financial Post,Shanghai Cooperation Organization summit could shed light on intentions of member states,https://financialpost.com/pmn/shanghai-cooperation-organization-summit-could-shed-light-on-intentions-of-member-states,2025-08-31T01:51:41Z,newsapi
Ibtimes.com.au,Thousands Protest Israeli Siege Of Gaza Near Venice Film Festival,https://www.ibtimes.com.au/thousands-protest-israeli-siege-gaza-near-venice-film-festival-1860308,2025-08-31T01:51:27Z,newsapi
International Business Times,Putin Lands In Tianjin For Summit Hosted By China,https://www.ibtimes.com/putin-lands-tianjin-summit-hosted-china-3782027,2025-08-31T01:51:18Z,newsapi
Al Jazeera English,"Russia-Ukraine war: List of key events, day 1,284",https://www.aljazeera.com/news/2025/8/31/russia-ukraine-war-list-of-key-events-day-1284,2025-08-31T01:50:43Z,newsapi
Worldsoccertalk.com,Santos reportedly receive key Neymar injury update after Brazil snub from Carlo Ancelotti,https://worldsoccertalk.com/news/santos-reportedly-receive-key-neymar-injury-update-after-brazil-snub-from-carlo-ancelotti/,2025-08-31T01:49:28Z,newsapi
New York Post,Dem Senator backs Trump’s ‘tasteful and historical’ $200M White House ballroom plan,https://nypost.com/2025/08/30/us-news/john-fetterman-backs-trumps-200m-white-house-ballroom-plan/,2025-08-31T01:48:48Z,newsapi
The Times of India,Russian President Vladimir Putin lands in Tianjin for SCO summit hosted by China's Xi Jinping,https://economictimes.indiatimes.com/news/international/world-news/russian-president-vladimir-putin-lands-in-tianjin-for-sco-summit-hosted-by-chinas-xi-jinping/articleshow/123609772.cms,2025-08-31T01:47:38Z,newsapi
Digital Journal,Putin lands in Tianjin for summit hosted by China,https://www.digitaljournal.com/world/putin-lands-in-tianjin-for-summit-hosted-by-china/article,2025-08-31T01:47:20Z,newsapi
CBS News,Amtrak's new high-speed Acela train a gamechanger for Northeast travelers,https://www.cbsnews.com/news/amtrak-new-high-speed-acela-train-gamechanger-for-northeast-travelers/,2025-08-31T01:47:18Z,newsapi
Israelnationalnews.com,France: Lyon Holocaust memorial defaced with 'Free Gaza',https://www.israelnationalnews.com/news/414120,2025-08-31T01:46:23Z,newsapi
Yahoo Entertainment,Putin lands in Tianjin for summit hosted by China,https://www.yahoo.com/news/articles/putin-lands-tianjin-summit-hosted-014612664.html,2025-08-31T01:46:12Z,newsapi
Fox News,Ex-Postal fraud investigator allegedly stole more than $330K from elderly scam victims he was meant to protect,https://www.foxnews.com/us/postal-fraud-investigator-allegedly-stole-from-elderly-scam-victims-meant-protect,2025-08-31T01:45:28Z,newsapi
Yahoo Entertainment,Shanghai Cooperation Organization summit could shed light on intentions of member states,https://www.yahoo.com/news/articles/shanghai-cooperation-organization-summit-could-014429549.html,2025-08-31T01:44:29Z,newsapi
Freerepublic.com,'Thank you Keir!' Migrants staying at Epping hotel hail Starmer after his Government fought to keep asylum seekers there,https://freerepublic.com/focus/f-news/4337747/posts,2025-08-31T01:40:33Z,newsapi
Deadline,Mark Knoller Dies: Longtime CBS News White House Correspondent Was 73,http://deadline.com/2025/08/mark-knoller-dead-cbs-news-white-house-correspondent-1236502330/,2025-08-31T01:40:28Z,newsapi
Deadline,"Jeremy Allen White, Jeremy Strong & Scott Cooper Telluride Q&A: How Bruce Springsteen’s Life Was Saved By Jon Landau And Making ‘Nebraska’",http://deadline.com/2025/08/bruce-springsteen-jeremy-allen-white-jeremy-strong-scott-cooper-telluride-nebraska-1236502307/,2025-08-31T01:40:05Z,newsapi
Sporting News,Iowa Hawkeyes Kirk Ferentz ties Woody Hayes in career wins,https://www.sportingnews.com/us/ncaa-football/news/big-ten-history-kirk-ferentz-wins-205/ee6be71ffe00a4d5e557fde9,2025-08-31T01:39:13Z,newsapi
Fox News,Sen. Bernie Sanders calls on RFK Jr. to resign following departure of CDC officials,https://www.foxnews.com/politics/sen-bernie-sanders-calls-rfk-jr-resign-following-departure-cdc-officials,2025-08-31T01:38:02Z,newsapi
On3.com,WATCH: Freshman QB Tramell Jones throws first career TD for Florida,https://www.on3.com/teams/florida-gators/news/watch-gators-freshman-qb-tramell-jones-throws-first-career-td/,2025-08-31T01:35:28Z,newsapi
Twitchy.com,From Hat Snatcher to Hero: Polish CEO’s Infamy Meets Tennis Star’s Kindness at US Open,https://twitchy.com/justmindy/2025/08/30/tennis-star-meets-with-young-boy-hat-snatch-n2418194,2025-08-31T01:35:25Z,newsapi
Electrek,MAN Trucks CEO: an electric semi will pay for itself in three years (*),http://electrek.co/2025/08/30/man-trucks-ceo-an-electric-semi-will-pay-for-itself-in-three-years/,2025-08-31T01:34:18Z,newsapi
7NEWS.com.au,Wife of accused cop killer Dezi Freeman pleads for his surrender as hunt for Porepunkah gunman continues,https://7news.com.au/news/wife-of-accused-cop-killer-dezi-freeman-pleads-for-his-surrender-as-hunt-for-porepunkah-gunman-continues-c-19861771,2025-08-31T01:33:47Z,newsapi
Nep123.com, HUGE NEWS! People Can Now Buy Peoples Power Shares for Just ₹100!  Where to Apply? ,https://nep123.com/huge-news-people-can-now-buy-peoples-power-shares-for-just-100-where-to-apply/,2025-08-31T01:33:17Z,newsapi
Slashdot.org,Prominent Ukraine politician shot dead in street by gunman reportedly disguised as delivery driver - CBS News,https://slashdot.org/firehose.pl?op=view&amp;id=178949956,2025-08-31T01:32:40Z,newsapi
Slashdot.org,Frankenstein: Guillermo del Toro's Netflix adaptation debuts in Venice - BBC,https://slashdot.org/firehose.pl?op=view&amp;id=178949952,2025-08-31T01:32:29Z,newsapi
Bleeding Cool News,"Conan O'Brien's Toy Story 5 Role, Toy Story Rerelease Details Revealed",https://bleedingcool.com/movies/toy-story-5-conan-obriens-role-revealed/,2025-08-31T01:32:03Z,newsapi
Raw Story,'Existential dread': Trump renews health concerns with 'very weird' email about 'heaven',https://www.rawstory.com/trump-weird-email-about-heaven/,2025-08-31T01:30:03Z,newsapi
USA Today,Halftime Report: No. 4 Clemson leads No. 9 LSU in an early defensive battle,https://clemsonwire.usatoday.com/story/sports/college/clemson/football/2025/08/30/clemson-leads-lsu-halftime/85915214007/,2025-08-31T01:28:42Z,newsapi
Fox News,Gov. Brian Kemp endorses former football coach Derek Dooley outside Georgia stadium for 2026 US Senate bid,https://www.foxnews.com/politics/gov-brian-kemp-endorses-former-football-coach-derek-dooley-outside-georgia-stadium-2026-us-senate-bid,2025-08-31T01:28:17Z,newsapi
Yahoo Entertainment,Friday Night Notes: Latest football recruiting news after Week 2,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_fc49fb92-325b-4d27-82b9-828f94da0784,2025-08-31T01:27:06Z,newsapi
Freerepublic.com,A Modest 5-Part Proposal for Jews Who Are Ambivalent About Guns,https://freerepublic.com/focus/f-bloggers/4337744/posts,2025-08-31T01:24:49Z,newsapi
Freerepublic.com,Is Donald Trump dead? Rumours hit social media after president disappeared for days,https://freerepublic.com/focus/f-chat/4337743/posts,2025-08-31T01:20:37Z,newsapi
Thegatewaypundit.com,HUD Secretary Scott Turner to BOOT ILLEGAL ALIENS from Section 8 Housing — Proof Of Citizenship Now Required For All Tenants,https://www.thegatewaypundit.com/2025/08/hud-secretary-scott-turner-boot-illegal-aliens-section/,2025-08-31T01:20:15Z,newsapi
CBS News,Chicago mayor pushes back on Trump's immigration crackdown,https://www.cbsnews.com/video/chicago-mayor-pushes-back-on-trumps-immigration-crackdown/,2025-08-31T01:16:00Z,newsapi
Page Six,"Lil Nas X’s dad shares heartbreaking update after rapper’s mental ‘breakdown,’ arrest: ‘We shed tears’",https://pagesix.com/2025/08/30/celebrity-news/lil-nas-xs-dad-shares-update-after-rappers-breakdown-arrest/,2025-08-31T01:15:46Z,newsapi
fox6now.com,Milwaukee Mexican Independence Day festivities paused; here's why,https://www.fox6now.com/news/umos-milwaukee-mexican-independence-day-pause,2025-08-31T01:15:31Z,newsapi
Tuscaloosa News,What Ty Simpson promised Alabama football fans after Florida State loss,https://www.tuscaloosanews.com/story/sports/college/football/2025/08/30/what-ty-simpson-promised-alabama-football-fans-after-fsu-loss/85775215007/,2025-08-31T01:14:47Z,newsapi
Slashdot.org,Florida State stuns No. 8 Alabama: Seminoles control Crimson Tide as pressure builds around Kalen DeBoer - CBS Sports,https://slashdot.org/firehose.pl?op=view&amp;id=178949822,2025-08-31T01:14:29Z,newsapi
Slashdot.org,SpaceX launches 24 Starlink satellites to orbit from California (video) - Space,https://slashdot.org/firehose.pl?op=view&amp;id=178949820,2025-08-31T01:14:19Z,newsapi
