publisher,count
ETF Daily News,158
Globalsecurity.org,41
Biztoc.com,25
Slashdot.org,24
Thefly.com,18
The Times of India,14
Sporting News,9
ABC News (AU),8
Breitbart News,7
The-independent.com,6
Yahoo Entertainment,5
The Hockey News,5
NBC News,5
BBC News,5
Bleeding Cool News,4
Mypeoplesreview.com,4
Fox News,4
Forbes,4
Antaranews.com,4
Page Six,3
Freerepublic.com,3
Memeorandum.com,3
Financial Post,3
Decrypt,3
Boredpanda.com,3
Newsweek,3
7NEWS.com.au,3
fox6now.com,2
Brit + Co,2
Marca,2
International Business Times,2
Nep123.com,2
The Denver Post,2
Digital Journal,2
CBS News,2
Motley Fool Australia,2
New Zealand Herald,2
UPI.com,2
USA Today,2
CinemaBlend,2
Mediagazer.com,2
Newsonjapan.com,2
Boxingnews24.com,2
Albuquerque Journal,2
CounterPunch,2
Hacker News,2
ABC News,2
Phys.Org,2
GlobeNewswire,2
Littlegreenfootballs.com,1
Thepinknews.com,1
IGN,1
A Sea Of Blue,1
Israelnationalnews.com,1
HuffPost,1
The Advocate,1
TODAY,1
Ndtvprofit.com,1
Sky.com,1
Nikonrumors.com,1
CNX Software,1
The Week Magazine,1
ClutchPoints,1
Epicpsa.com,1
BusinessLine,1
Cosmopolitan.com,1
Coveringthecorner.com,1
Pajiba.com,1
Economictimes.com,1
NBCSports.com,1
Smashingapps.com,1
WFTV Orlando,1
WPXI Pittsburgh,1
Mediaite,1
Al Jazeera English,1
Newser,1
Deadline,1
Hollywood Reporter,1
Prnewsonline.com,1
Us Weekly,1
The Cut,1
The Daily Caller,1
WAVY.com,1
Bloomington Pantagraph,1
Eonline.com,1
MLB Trade Rumors,1
Managing Madrid,1
Fark.com,1
Southsidesox.com,1
redmondpie.com,1
The Conversation Africa,1
Realgm.com,1
Sputnikglobe.com,1
Chelsea.news,1
Seclists.org,1
Madshrimps.be,1
The Indian Express,1
Independent.ie,1
The Christian Post,1
Christiantoday.com,1
Hospitality Net,1
Bleeding Green Nation,1
Superherohype.com,1
9to5Toys,1
Bulinews.com,1
road.cc,1
Fortune,1
Tech Xplore,1
