bigram,count
free report,143
charlie kirk,97
window open,64
open href,64
href blank',64
blank' return,64
return false,64
get free,64
asset management,58
management inc,58
advisor asset,56
price target,40
quart accord,40
report have,31
report quart,29
earning call,28
call analyst,28
analyst event,28
event roadshow,28
stock surge,28
today window,28
inc nasdaq,26
berenberg bank,26
report dur,25
dur quart,25
com report,24
buy rat,23
inc nyse,23
accord recent,23
pati patni,22
