publisher,title,url,published_at,raw_source
College Football News,Ohio State vs Ohio Prediction: Can the Bobcats Push the Buckeyes?,https://collegefootballnews.com/college-football/ohio-state-vs-ohio-prediction-preview-2025,2025-09-11T01:59:46Z,newsapi
Camden Chat,"Orioles walk-off winners yet again, Beavers the hero in 2-1 win over Pirates",https://www.camdenchat.com/baltimore-orioles-scores-standings/60805/orioles-walk-off-winners-yet-again-beavers-the-hero-in-2-1-win-over-pirates,2025-09-11T01:59:22Z,newsapi
The Times of India,Gold inches higher as soft US PPI data fuels rate cut bets; CPI in focus,https://economictimes.indiatimes.com/markets/commodities/news/gold-inches-higher-as-soft-us-ppi-data-fuels-rate-cut-bets-cpi-in-focus/articleshow/123819889.cms,2025-09-11T01:58:28Z,newsapi
Sporting News,Jacory Croskey-Merrit vs. Austin Ekeler fantasy Week 2: Which WAS RB is the better TNF start?,https://www.sportingnews.com/us/nfl/washington-commanders/news/jacory-croskey-merrit-vs-austin-ekeler-fantasy-week-2-rb-tnf-start/e45f2f3882efc3ea9a1c6f71,2025-09-11T01:58:24Z,newsapi
The Times of India,"Tweak law to deal with fake news, says Parliamentary panel",https://timesofindia.indiatimes.com/india/tweak-law-to-deal-with-fake-news-says-parliamentary-panel/articleshow/123819698.cms,2025-09-11T01:58:16Z,newsapi
Memeorandum.com,"When You Try to Kill the Negotiators, Negotiations End (The Atlantic)",https://www.memeorandum.com/250910/p160,2025-09-11T01:55:01Z,newsapi
Associated Press,"What to know about the fatal shooting of Charlie Kirk, the co-founder of Turning Point USA",https://apnews.com/article/charlie-kirk-shot-utah-turning-point-e771e3967d5a6024f7cf84d5e0228fed,2025-09-11T01:54:00Z,newsapi
Breitbart News,First Lady Melania Trump Mourns Charlie Kirk: 'Charlie’s Children Will Be Raised with Stories Instead of Memories',https://www.breitbart.com/politics/2025/09/10/first-lady-melania-trump-mourns-charlie-kirk-charlies-children-will-be-raised-with-stories-instead-of-memories/,2025-09-11T01:53:32Z,newsapi
ABC News,"Mother, sister of Charlotte stabbing suspect describe history of mental illness",https://abcnews.go.com/US/mother-sister-charlotte-stabbing-suspect-describe-history-mental/story?id=125451590,2025-09-11T01:53:00Z,newsapi
Slashdot.org,Thinking Machines Lab wants to make AI models more consistent - TechCrunch,https://slashdot.org/firehose.pl?op=view&amp;id=179152866,2025-09-11T01:52:31Z,newsapi
Slashdot.org,Channing Tatum Brought His Daughter As His Plus-one - The Cut,https://slashdot.org/firehose.pl?op=view&amp;id=179152862,2025-09-11T01:52:21Z,newsapi
Balloon-juice.com,Charlie Kirk Died Doing What He Loved,https://balloon-juice.com/2025/09/10/charlie-kirk-died-doing-what-he-loved/,2025-09-11T01:51:42Z,newsapi
New York Post,DaRon Bland could be out multiple weeks in Cowboys injury crusher,https://nypost.com/2025/09/10/sports/daron-bland-could-be-out-multiple-weeks-in-cowboys-injury-crusher/,2025-09-11T01:50:28Z,newsapi
Financial Post,Shopify COO Kaz Nejatian departing company at end of week to join Opendoor as CEO,https://financialpost.com/pmn/shopify-coo-kaz-nejatian-departing-company-at-end-of-week-to-join-opendoor-as-ceo,2025-09-11T01:49:56Z,newsapi
Motley Fool Australia,ASX lithium stocks rebounding today after Wednesday's bloodbath,https://www.fool.com.au/2025/09/11/asx-lithium-stocks-rebounding-today-after-wednesdays-bloodbath/,2025-09-11T01:49:43Z,newsapi
Biztoc.com,China’s Zinc Smelters Tighten Grip as Global Rivals Struggle,https://biztoc.com/x/094ea4f09074cf7a,2025-09-11T01:48:57Z,newsapi
The Times of India,"Modern Family star Eric Stonestreet, who played Cam, marries Lindsay Schweitzer, fans joke: ‘Mitchell’s going to be pissed’",https://economictimes.indiatimes.com/magazines/panache/modern-family-star-eric-stonestreet-who-played-cam-marries-lindsay-schweitzer-fans-joke-mitchells-going-to-be-pissed/articleshow/123819649.cms,2025-09-11T01:47:43Z,newsapi
Realgm.com,Adam Silver Confirms 'Burden' Of Proof On NBA In Kawhi Leonard Probe,https://basketball.realgm.com/wiretap/281873/Adam-Silver-Confirms-Burden-Of-Proof-On-NBA-In-Kawhi-Leonard-Probe,2025-09-11T01:47:35Z,newsapi
Boxingnews24.com,Has Canelo Lost His Edge? Ryan Garcia Says Alvarez Lacks the Intensity of His Prime,https://www.boxingnews24.com/2025/09/has-canelo-lost-his-edge-ryan-garcia-says-alvarez-lacks-the-intensity-of-his-prime/,2025-09-11T01:46:10Z,newsapi
Newsweek,"Charlie Kirk Is Assassinated, as America Blisters With Hate and Violence",https://www.newsweek.com/charlie-kirk-assassinated-america-blisters-hate-violence-2127940,2025-09-11T01:46:00Z,newsapi
The Indian Express,‘We can see fires from our hotel room’: Madhya Pradesh family’s vacation to Nepal turns into nightmare,https://indianexpress.com/article/india/we-can-see-fires-from-our-hotel-room-madhya-pradesh-familys-vacation-to-nepal-turns-into-nightmare-10242813/,2025-09-11T01:45:26Z,newsapi
KGO-TV,"COVID-19 vaccine: Who is qualified to get the shot ? Can you actually get one? Here's what we found, expert says",https://abc7news.com/post/covid-19-vaccine-is-qualified-get-shot-can-heres-what-found-expert-says/17787264/,2025-09-11T01:45:18Z,newsapi
Memeorandum.com,Trump Has Heated Call With Netanyahu Over Israeli Strike on Qatar (Wall Street Journal),https://www.memeorandum.com/250910/p159,2025-09-11T01:45:00Z,newsapi
Memeorandum.com,"Trump ally Charlie Kirk shot, killed at speaking event in Utah (The Hill)",https://www.memeorandum.com/250910/p157,2025-09-11T01:45:00Z,newsapi
Memeorandum.com,Republicans Block Schumer's Effort to Force Vote on Epstein Files (Michael Gold/New York Times),https://www.memeorandum.com/250910/p158,2025-09-11T01:45:00Z,newsapi
The Times of India,OpenAI signs $300 billion data center pact with tech giant Oracle,https://economictimes.indiatimes.com/tech/artificial-intelligence/openai-signs-300-billion-data-center-pact-with-tech-giant-oracle/articleshow/123819765.cms,2025-09-11T01:44:33Z,newsapi
Freerepublic.com,Live updates: Charlie Kirk assassinated at university event in Utah,https://freerepublic.com/focus/f-news/4339664/posts,2025-09-11T01:43:35Z,newsapi
HuffPost,Charlie Kirk Brought Hard-Right Politics To A New Generation,https://www.huffpost.com/entry/charlie-kirk-hard-right-politics_n_68c21d4ce4b0bf06eab621cb,2025-09-11T01:43:31Z,newsapi
Fox News,Kai Trump reacts to death of 'close family friend' Charlie Kirk after Utah campus shooting,https://www.foxnews.com/sports/kai-trump-reacts-death-close-family-friend-charlie-kirk-after-utah-campus-shooting,2025-09-11T01:43:22Z,newsapi
Knowyourmeme.com,Shina Inu,https://knowyourmeme.com/memes/shina-inu,2025-09-11T01:41:42Z,newsapi
RTE,Manhunt for lone sniper after Charlie Kirk killed in Utah,https://www.rte.ie/news/world/2025/0911/1532883-charlie-kirk-shot/,2025-09-11T01:40:35Z,newsapi
Fox News,Gov Spencer Cox declares Charlie Kirk killing a 'political assassination' at Utah campus,https://www.foxnews.com/us/gov-spencer-cox-declares-charlie-kirk-killing-political-assassination-utah-campus,2025-09-11T01:40:27Z,newsapi
Thefly.com,"MGM Resorts price target lowered by $5 at UBS, here's why",https://thefly.com/permalinks/entry.php/id4196449/MGM-MGM-Resorts-price-target-lowered-by--at-UBS-heres-why,2025-09-11T01:40:23Z,newsapi
TechRadar,"This portable SSD has a unique anti-theft feature, and you can even track it via Apple's Find My App should it be lost or stolen",https://www.techradar.com/pro/this-portable-ssd-has-a-unique-anti-theft-feature-and-you-can-even-track-it-via-apples-find-my-app-should-it-be-lost-or-stolen,2025-09-11T01:40:00Z,newsapi
Freerepublic.com,Interesting Points About the Charlie Kirk Assassination,https://freerepublic.com/focus/f-news/4339663/posts,2025-09-11T01:39:23Z,newsapi
Thefly.com,"Edison International price target lowered by $2 at UBS, here's why",https://thefly.com/permalinks/entry.php/id4196448/EIX-Edison-International-price-target-lowered-by--at-UBS-heres-why,2025-09-11T01:38:11Z,newsapi
Financial Post,Gold Steadies Near Record as Traders Gear Up for Inflation Data,https://financialpost.com/pmn/business-pmn/gold-steadies-near-record-as-traders-gear-up-for-inflation-data,2025-09-11T01:37:44Z,newsapi
Biztoc.com,Gold Steadies Near Record as Traders Gear Up for Inflation Data,https://biztoc.com/x/e0e6e16cdbcad265,2025-09-11T01:37:35Z,newsapi
The Times of India,Is WWE Wrestlemania really heading to Saudi Arabia? First time outside North America in its 43-year history,https://economictimes.indiatimes.com/news/international/us/is-wwe-wrestlemania-really-heading-to-saudi-arabia-first-time-outside-north-america-in-its-43-year-history/articleshow/123819721.cms,2025-09-11T01:37:19Z,newsapi
New Zealand Herald,Crown takes first steps in Ngāpuhi redress by returning Kerikeri pā,https://www.nzherald.co.nz/northern-advocate/news/crown-takes-first-steps-in-ngapuhi-redress-by-returning-kerikeri-pa/VPP75UQE6ZFK7OQJDJFMU4NEKE/,2025-09-11T01:37:01Z,newsapi
The Daily Caller,‘Dark Moment For America’: Trump Addresses Nation After Kirk Assassination,https://dailycaller.com/2025/09/10/dark-moment-for-america-trump-addresses-nation-after-kirk-assassination/,2025-09-11T01:36:28Z,newsapi
The Times of India,"Nintendo Direct September 2025 Showcase Confirmed: When is next Nintendo Direct? Here's date, time, duration, how to watch, expected game titles lineup",https://economictimes.indiatimes.com/news/international/us/nintendo-direct-september-2025-showcase-switch-2-mario-anniversary-metroid-updates-when-is-next-nintendo-direct-date-time-duration-how-to-watch-expected-game-titles-lineup-major-announcements/articleshow/123819608.cms,2025-09-11T01:36:15Z,newsapi
Thefly.com,"Embraer price target raised by $10 at BofA, here's why",https://thefly.com/permalinks/entry.php/id4196447/ERJ-Embraer-price-target-raised-by--at-BofA-heres-why,2025-09-11T01:34:22Z,newsapi
CBS News,9/10: CBS Evening News,https://www.cbsnews.com/video/091025-cbs-evening-news/,2025-09-11T01:33:27Z,newsapi
Sporting News,Commanders' Jayden Daniels 'excited' for Lambeau Field debut,https://www.sportingnews.com/us/nfl/washington-commanders/news/commanders-jayden-daniels-excited-lambeau-field-debut/9e82538dec9fc1b6df028dcd,2025-09-11T01:33:08Z,newsapi
Thefly.com,Avidity Biosciences,https://thefly.com/permalinks/entry.php/id4196446/RNA-Avidity-Biosciences,2025-09-11T01:33:02Z,newsapi
Eonline.com,"Charlie Kirk Dead: Barack Obama, Chris Pratt and More Celebs Speak Out",https://www.eonline.com/news/1422345/charlie-kirk-dead-barack-obama-and-more-celebrities-speak-out,2025-09-11T01:32:51Z,newsapi
Slashdot.org,John Lennon’s killer denied parole for 14th time - AP News,https://slashdot.org/firehose.pl?op=view&amp;id=179152566,2025-09-11T01:32:04Z,newsapi
The Times of India,"Trump tariff: Will wait and watch how trade talks pan out, says officials",https://timesofindia.indiatimes.com/business/india-business/trump-tariff-will-wait-and-watch-how-trade-talks-pan-out-says-officials/articleshow/123819509.cms,2025-09-11T01:31:44Z,newsapi
Financial Post,Mexico’s new tariffs on Asian imports aim to counter US trade pressures,https://financialpost.com/pmn/mexicos-new-tariffs-on-asian-imports-aim-to-counter-us-trade-pressures,2025-09-11T01:31:26Z,newsapi
