proper_noun,count
NYSE,188
NASDAQ,144
Inc,104
The,85
Free Report,79
Charlie Kirk,77
LON,76
US,75
Get Free Report,64
GBX,49
Wednesday,46
Advisors Asset Management,41
Why,35
Oracle,35
IRNA,31
How,30
LLC,29
Tuesday,28
Shares,28
BXP,28
September,26
Earnings,25
Monday,23
Panga,22
Sonali Bendres,22
OTCMKTS,22
We,21
MSNBC,20
MIRAE,20
ASSET,20
