proper_noun,count
NYSE,238
LLC,171
NASDAQ,162
Inc,107
Free Report,100
The,84
Get Free Report,70
NewEdge Advisors LLC,67
US,60
ETF,54
Charlie Kirk,50
Thursday,42
Shares,32
TSE,30
What,28
OTCMKTS,28
NYSEARCA,28
Securities,27
Week,21
AI,21
Trump,21
How,20
Earnings,20
Form,20
SEC,19
Why,18
Wednesday,18
Sept,17
September,16
We,16
