proper_noun,count
NASDAQ,332
NYSE,312
The,299
Free Report,185
Inc,175
US,92
Get Free Report,89
Swiss National Bank,89
AI,81
Bank,79
We,77
Thursday,74
China,63
AFP,63
TV,62
Why,61
Aug,61
Shares,60
OTCMKTS,56
LLC,56
Trump,54
What,53
Chinese,49
Donald Trump,48
July,47
Friday,45
August,42
CEO,42
SEC,40
Dias,40
