proper_noun,count
NYSE,180
NASDAQ,156
The,122
Inc,113
ABC,108
Free Report,97
OTCMKTS,86
Get Free Report,63
LLC,53
Titak Inc,48
Wednesday,46
Fed,42
US,42
ETF,34
AAPL,34
Trump,33
Goldman Sachs Group,33
Jimmy Kimmel,31
Thurston Springer Miller,29
Herd,29
AI,28
Shares,28
Charlie Kirk,27
We,27
Why,24
How,23
Jimmy Kimmel Live,23
Apple Inc,22
Faruqi,21
Securities,21
