publisher,title,url,published_at,raw_source
Fox News,Charlie Kirk ally reveals 'absolute miracle' that may have saved lives during fatal shooting,https://www.foxnews.com/us/charlie-kirk-ally-reveals-absolute-miracle-may-have-saved-lives-during-fatal-shooting,2025-09-21T01:58:21Z,newsapi
Pinstripe Alley,"Aaron Judge, Giancarlo Stanton continue pushes for history in Yankee win over Orioles",https://www.pinstripealley.com/yankees-scores-game-recaps/165134/yankees-mlb-game-recap-orioles-stanton-judge-rodon-weaver-volpe-chisholm-bednar-postseason-blue-jays,2025-09-21T01:57:35Z,newsapi
Arkansas Times,"Half of Arkansas's health insurance marketplace enrollees may soon be priced out, documents suggest - Arkansas Times",http://arktimes.com/arkansas-blog/2025/09/20/half-of-arkansass-health-insurance-marketplace-enrollees-may-soon-be-priced-out-documents-suggest,2025-09-21T01:55:21Z,newsapi
Yahoo Entertainment,"Shaikin: Mike Trout hit his 400th career home run. Here's an appreciation, not a lament",https://sports.yahoo.com/article/shaikin-mike-trout-hit-400th-015514861.html,2025-09-21T01:55:14Z,newsapi
Memeorandum.com,Tulsi Gabbard did not alert White House before revoking 37 security clearances (Hugo Lowell/The Guardian),https://www.memeorandum.com/250920/p76,2025-09-21T01:55:01Z,newsapi
Sporting News,"LIVE updates: Colorado vs. Wyoming: Live score, news updates, highlights from the week 4 primetime matchup",https://www.sportingnews.com/us/ncaa-football/colorado/news/live-updates-colorado-vs-wyoming-live-score-news-updates-highlights-week-4-primetime-matchup/c86017485240247f5337c932,2025-09-21T01:55:00Z,newsapi
TheStreet,"Weekly Wrap: Market optimistic, Intel, Oklo and Paramount emerge triumphant",https://www.thestreet.com/markets/weekly-wrap-market-optimistic-intel-oklo-and-paramount-emerge-triumphant,2025-09-21T01:54:22Z,newsapi
Biztoc.com,Trump Renews Pressure on Europe to Stop Buying Russian Oil,https://biztoc.com/x/4e758003bda41177,2025-09-21T01:54:06Z,newsapi
Financial Post,Trump Renews Pressure on Europe to Stop Buying Russian Oil,https://financialpost.com/pmn/business-pmn/trump-renews-pressure-on-europe-to-stop-buying-russian-oil,2025-09-21T01:53:09Z,newsapi
Slashdot.org,Man Charged After Drive-by Shooting at Local ABC Station in Sacramento - The New York Times,https://slashdot.org/firehose.pl?op=view&amp;id=179415832,2025-09-21T01:52:32Z,newsapi
Slashdot.org,Taylor Swift Shares Details About 'The Life of a Showgirl' Album - TMZ,https://slashdot.org/firehose.pl?op=view&amp;id=179415830,2025-09-21T01:52:21Z,newsapi
Yahoo Entertainment,West Georgia remains undefeated with 33-12 win over Eastern Kentucky,https://sports.yahoo.com/article/west-georgia-remains-undefeated-33-015001710.html,2025-09-21T01:50:01Z,newsapi
The Indian Express,"Virgo Horoscope Today, 21 September 2025: Discover what stars say about your career, finance and love",https://indianexpress.com/article/horoscope/virgo-horoscope-today-21-september-2025-daily-astrology-prediction-for-virgo-career-finance-money-love-10260460/,2025-09-21T01:49:05Z,newsapi
The Indian Express,"Pisces Horoscope Today, 21 September 2025: Discover what stars say about your career, finance and love",https://indianexpress.com/article/horoscope/pisces-horoscope-today-21-september-2025-daily-astrology-prediction-for-pisces-career-finance-money-love-10260472/,2025-09-21T01:48:14Z,newsapi
ABC News (AU),Koori Court looks to treaty after 20 years in north-west Victoria,https://www.abc.net.au/news/2025-09-21/twenty-years-of-koori-justice-in-mildura-victorias-north-west/105784288,2025-09-21T01:47:44Z,newsapi
