key,count
char,46029
share,24358
stock,13768
analyst,8793
market,8313
accord,8079
price,7599
rating,7568
investor,7496
recent,7195
research,6791
buy,6781
trade,6429
time,6071
trump,5917
firm,5694
earning,5613
issue,5376
post,5220
now,5030
late,4972
out,4900
make,4888
position,4882
see,4808
stake,4566
filing,4463
all,4321
high,4260
call,4259
