key,count
first,5017
the first quarter,4719
two,4249
friday,3624
august,3592
one,3116
thursday,2824
today,2434
monday,2359
sec,2237
tuesday,2114
wednesday,2075
donald trump,2018
china,1940
india,1838
nyse,1807
us,1743
the securities and exchange commission,1556
washington,1550
the st quarter,1486
saturday,1479
fed,1373
three,1340
new york,1328
july,1238
september,1228
sunday,1202
million,1192
morning,1175
five,1152
