publisher,title,url,published_at,raw_source
The Hill,France claps back at Rubio over Gaza criticism,https://thehill.com/policy/international/5490436-france-claps-back-rubio-gaza-criticism/,2025-09-07T01:59:20Z,newsapi
Freerepublic.com,Tucker Carlson Expresses Doubts That Hamas Is a ‘Radical Jihadi Organization’,https://freerepublic.com/focus/f-chat/4339079/posts,2025-09-07T01:58:49Z,newsapi
WLKY Louisville,Japan's Prince Hisahito is first male royal to reach adulthood in 40 years,https://www.wlky.com/article/japan-prince-hisahito-first-male-royal-to-reach-adulthood-40-years/66002142,2025-09-07T01:58:16Z,newsapi
Bleeding Cool News,Arcane Wins 2025 Emmy Award for Outstanding Animated Program,https://bleedingcool.com/tv/arcane-wins-2025-emmy-award-for-outstanding-animated-program/,2025-09-07T01:58:03Z,newsapi
Newsweek,Dodgers Pitcher Loses No-Hitter Attempt in Heartbreaking Fashion,https://www.newsweek.com/sports/mlb/dodgers-pitcher-loses-no-hitter-attempt-heartbreaking-fashion-2125865,2025-09-07T01:57:08Z,newsapi
Fox News,US pilot and influencer released from Chilean Antarctic detention 2 months after alleged unauthorized landing,https://www.foxnews.com/travel/us-pilot-influencer-released-chilean-antarctic-detention-2-months-alleged-unauthorized-landing,2025-09-07T01:56:18Z,newsapi
Fox News,Off-duty pilot who tried shutting down engines after taking psychedelic mushrooms pleads guilty,https://www.foxnews.com/us/off-duty-pilot-who-tried-shutting-down-engines-taking-psychedelic-mushrooms-pleads-guilty,2025-09-07T01:52:48Z,newsapi
ESPN,Poch: USMNT better than South Korea despite loss,https://www.espn.com/soccer/story/_/id/46179385/mauricio-pochettino-usa-south-korea-friendly-loss,2025-09-07T01:52:30Z,newsapi
The Times of India,No. 18 Oklahoma leads No. 15 Michigan 14-0 at halftime in college football matchup,https://economictimes.indiatimes.com/news/international/us/no-18-oklahoma-leads-no-15-michigan-14-0-at-halftime-in-college-football-matchup/articleshow/123742160.cms,2025-09-07T01:49:34Z,newsapi
The Times of India,Reusable water bottles aren’t always healthy; here’s how to clean it and protect yourself from mold,https://economictimes.indiatimes.com/news/international/us/reusable-water-bottles-arent-always-healthy-heres-how-to-clean-it-and-protect-yourself-from-mold/articleshow/123741970.cms,2025-09-07T01:46:45Z,newsapi
News18,"AI May Wipe Out Entry-Level Office Jobs Within A Year, Warns Anthropic CEO",https://www.news18.com/tech/ai-may-wipe-out-entry-level-office-jobs-within-a-year-warns-anthropic-ceo-9554646.html,2025-09-07T01:46:34Z,newsapi
On3.com,Rutgers Football Postgame Show: Ohio Edition,https://www.on3.com/sites/the-knight-report/news/rutgers-football-postgame-show-miami-ohio-edition/,2025-09-07T01:45:26Z,newsapi
fox6now.com,"Milwaukee hit-and-run victim's family mourns, police seek driver",https://www.fox6now.com/news/milwaukee-hit-run-pedestrian-killed-teutonia,2025-09-07T01:45:03Z,newsapi
Mypeoplesreview.com,UML Disciplinary Commission Report: Arrogance over correcting sexual misconduct regrettable,https://mypeoplesreview.com/2025/09/07/uml-disciplinary-commission-report-arrogance-over-correcting-sexual-misconduct-regrettable/,2025-09-07T01:45:00Z,newsapi
Breitbart News,Exclusive — Stewart Whitson: 'Bellwether' Special Election Gives Republicans 'Once in a Generation' Chance to Take Virginia 11th District,https://www.breitbart.com/politics/2025/09/06/exclusive-stewart-whitson-bellwether-special-election-gives-republicans-once-in-a-generation-chance-to-take-virginia-11th-district/,2025-09-07T01:44:05Z,newsapi
On3.com,Rutgers Football HC Greg Schiano’s Miami (OH) Postgame Press Conference,https://www.on3.com/sites/the-knight-report/news/rutgers-greg-schiano-talks-miami-ohio-postgame/,2025-09-07T01:44:04Z,newsapi
Livedoor.jp,道頓堀ダイブさせへん　戎橋を規制せよ！　大阪府警は約1000人を動員、ヘリコプターも初導入…　阪神、今日にもＶ,http://blog.livedoor.jp/nanjstu/archives/62621562.html,2025-09-07T01:43:58Z,newsapi
Yahoo Entertainment,"Dayton football wins 2025 home opener, gets first shutout in 9 years",https://sports.yahoo.com/article/dayton-football-wins-2025-home-013721190.html,2025-09-07T01:37:21Z,newsapi
Motorsport.com,Jeb Burton's NASCAR Xfinity playoff hopes end in a big crash at Gateway,https://www.motorsport.com/nascar-xs/news/jeb-burtons-nascar-xfinity-playoff-hopes-end-with-big-crash-at-gateway/10757306/,2025-09-07T01:36:02Z,newsapi
fox6now.com,"Brewers beat Pirates; Chourio, Bauers hit 2-run homers",https://www.fox6now.com/sports/milwaukee-brewers-score-pirates-090625,2025-09-07T01:35:36Z,newsapi
CBS News,9/6: CBS Weekend News,https://www.cbsnews.com/video/090625-cbs-weekend-news/,2025-09-07T01:35:20Z,newsapi
"Boston News, Weather, Sports | WHDH 7News","Report: ICE operation underway in Massachusetts - Boston News, Weather, Sports | WHDH 7News",https://whdh.com/news/report-ice-operation-underway-in-massachusetts/,2025-09-07T01:35:12Z,newsapi
Bleeding Cool News,The Studio: Bryan Cranston's Emmy Win First for Comedic Performance,https://bleedingcool.com/tv/the-studio-bryan-cranstons-emmy-win-first-for-comedic-performance/,2025-09-07T01:35:03Z,newsapi
CBS News,Millions of students use these pouches to lock up their cellphones,https://www.cbsnews.com/news/yondr-pouches-school-cell-phone-ban/?ftag=YHF4eb9d17,2025-09-07T01:34:10Z,newsapi
New York Post,Biden chooses home state of Delaware for presidential library,https://nypost.com/2025/09/06/us-news/biden-chooses-delaware-for-presidential-library-but-his-board-says-they-arent-going-to-create-a-budget-as-fundraising-begins/,2025-09-07T01:32:43Z,newsapi
ABC News (AU),Labor MP calls for WA government to scrap controversial street circuit plans,https://www.abc.net.au/news/2025-09-07/federal-perth-mp-wants-burswood-street-circuit-scrapped/105744928,2025-09-07T01:32:37Z,newsapi
The Denver Post,Keeler: Coach Prime shouldn’t dream of starting any other CU Buffs QB at Houston than Ryan Staub,https://www.denverpost.com/2025/09/06/ryan-staub-coach-prime-cu-delaware/,2025-09-07T01:32:29Z,newsapi
Sporting News,Josh Allen reveals his iconic cheat day meal,https://www.sportingnews.com/us/culture/trending/news/josh-allen-reveals-his-iconic-cheat-day-meal/16308c6c8236540a369b528b,2025-09-07T01:32:14Z,newsapi
Fox News,"California woman facing felony charges for registering her dog to vote, casting 2 ballots",https://www.foxnews.com/politics/california-woman-facing-felony-charges-registering-her-dog-vote-casting-2-ballots,2025-09-07T01:30:53Z,newsapi
WPXI Pittsburgh,No life from Pirates in loss to Brewers; ugly start to the series,https://www.wpxi.com/news/local/no-life-pirates-loss-brewers-ugly-start-series/OGK3IGVFSJHOHKFDGVPTVCBZIQ/,2025-09-07T01:30:40Z,newsapi
ABC News (AU),Surfer likely killed by white shark on Sydney's Northern Beaches,https://www.abc.net.au/news/2025-09-07/dee-why-shark-attack-victim-mercury-psillakis/105744998,2025-09-07T01:30:26Z,newsapi
USA Today,"Puerto Rico Lottery results: See winning numbers for Pega 2, Pega 3 on Sept. 6, 2025",https://www.usatoday.com/story/money/lottery/2025/09/06/puerto-rico-lottery-results-winning-numbers/86022458007/,2025-09-07T01:30:16Z,newsapi
Outkick.com,OutKick gets in the cage at California’s wild Professional Bull Riding showcase,https://www.outkick.com/sports/pbr-goes-california-outkick-goes-ultra-awesome-bull-riding-showcase-we-got-cage,2025-09-07T01:29:40Z,newsapi
The Times of India,Trump denies knowledge of reported SEAL Team 6 mission in North Korea that killed civilians,https://economictimes.indiatimes.com/news/international/canada/trump-denies-knowledge-of-reported-seal-team-6-mission-in-north-korea-that-killed-civilians/articleshow/123742098.cms,2025-09-07T01:29:36Z,newsapi
Paul Tan's Automotive News,Continental UltraContact UX7 sampled – new SUV tyre heads brand’s tech experience showcase in Germany,https://paultan.org/2025/09/07/continental-ultracontact-ux7-sampled-new-suv-tyre-heads-brands-tech-experience-showcase-in-germany/,2025-09-07T01:24:33Z,newsapi
