proper_noun,count
NASDAQ,278
NYSE,262
Free Report,150
Inc,134
LLC,129
The,104
Get Free Report,75
OTCMKTS,48
EPS,36
Saturday,34
US,34
Wall Street Zen,32
TSE,30
SEC,30
Shares,27
MetLife Investment Management,27
Management LLC,27
Securities,27
TV,26
Thursday,26
Holdings Channel,26
SPX,26
Friday,24
LON,24
We,23
Trump,23
Sep,20
September,18
NFL,17
Vident Advisory LLC,17
