bigram,count
free report,597
quart accord,335
report quart,254
northern trust,208
trust corp,208
algert global,208
global llc,208
accord recent,198
inc nasdaq,193
dur quart,172
report dur,171
recent fil,161
inc nyse,154
accord company,145
company recent,142
raymond jam,130
jam financial,130
financial inc,130
investment group,128
position shar,116
get free,113
brooklyn investment,112
sell shar,88
fil security,88
fil sec,85
recent form,81
recent disclosure,75
holding shar,73
stake shar,72
form fil,70
